企业代号,企业名称,行业,问题2额度_万元,平均冲击强度,企业暴露度,冲击前风险,冲击后平均风险,冲击后P95风险,稳健风险,调整后评级,调整后额度_万元,额度变化_万元,调整后利率,调整类别
E139,个体经营E139 ,其他/无法识别,94,0.08491180929721494,0.10522775637964912,0.023634522612705038,0.026022527827306276,0.02874938510357723,0.027249613601628205,A,94,0,0.0745,维持
E140,***建筑工程有限公司,建筑房地产,97,0.10624745976484203,0.16782510564113864,0.009836593713521358,0.01112090304181774,0.0125972203384986,0.011785245825324128,A,97,0,0.0745,维持
E141,***食品有限公司,其他/无法识别,97,0.08027463852054768,0.07091817066651226,0.00828904800323844,0.009092201687488479,0.010007902876831953,0.009504267222693043,A,97,0,0.0465,维持
E142,***运业有限公司,其他/无法识别,89,0.097607973982215,0.19165839051242028,0.056540567494481817,0.06291071325222829,0.0702172621322427,0.06619866024823479,A,88,-1,0.1225,调减
E143,***电子科技有限公司,科技信息服务,91,0.05147185713080109,0.19690127454902825,0.04256773308699345,0.04506769506201481,0.04832524313134787,0.046533591693214686,A,90,-1,0.0985,调减
E144,***劳务有限公司,其他/无法识别,92,0.09300339680975386,0.19390467020965615,0.034842086592546326,0.038669013625861455,0.04306042246140029,0.040645147601853934,A,91,-1,0.0985,调减
E145,***工贸有限公司,其他/无法识别,97,0.08412373937185634,0.08732676423388003,0.011974882043609664,0.013189059064722626,0.01457732466091593,0.013813778583009615,A,97,0,0.0745,维持
E146,***基础建设工程有限公司,建筑房地产,97,0.11095470819260606,0.17689059435108032,0.008717365856294238,0.009911662974167451,0.011290479099291064,0.010532130230473079,A,97,0,0.0585,维持
E147,***装饰工程有限责任公司,建筑房地产,99,0.09420603656893363,0.07579298952937137,0.002847698268629879,0.003177129239221377,0.0035523570602216175,0.0033459817586714855,A,99,0,0.0465,维持
E148,***商贸有限公司,批发零售,87,0.13323664081500042,0.26505329205388495,0.06398521315923607,0.073941688358802,0.08492083186597561,0.07888230293703014,A,85,-2,0.1225,调减
E149,***建筑劳务有限公司,建筑房地产,83,0.11526449531917017,0.2253123735521307,0.09644436769191836,0.10879539713927486,0.12282109538778378,0.11510696135110388,B,81,-2,0.1425,调减
E150,***建设工程有限公司,建筑房地产,93,0.09767461317750711,0.10870989505958384,0.03414216371868874,0.03809983447499025,0.04259418488854964,0.04012229216109198,A,92,-1,0.0745,调减
E151,***路桥工程有限公司,建筑房地产,83,0.12635133827255438,0.312453429993561,0.09752358894903286,0.11128335102022587,0.127021425644423,0.1183654846011146,B,80,-3,0.15,调减
E152,***运贸有限责任公司,其他/无法识别,91,0.10547759476258874,0.225192714760827,0.04398749118283251,0.049452860127937495,0.05577788566941972,0.052299121621604494,A,90,-1,0.0985,调减
E153,个体经营E153 ,其他/无法识别,79,0.12755543340950318,0.46708734195173657,0.07530600822791814,0.08634227346374077,0.0992382129082098,0.09214544621375184,A,77,-2,0.1425,调减
E154,***汽车销售服务有限公司,批发零售,91,0.13067399126647114,0.19876708243130742,0.03391381666676321,0.039280017081787154,0.04523379645889262,0.041959217801484615,A,90,-1,0.0985,调减
E155,个体经营E155 ,其他/无法识别,84,0.08460588258782356,0.0929910807093778,0.08930539284518299,0.09761899317107647,0.10700454961479429,0.1018424935707495,A,82,-2,0.1425,调减
E156,个体经营E156 ,其他/无法识别,91,0.10187261542336629,0.26540715213893873,0.038374940853071526,0.04300008663365731,0.04834321385049303,0.04540449388123338,A,90,-1,0.0985,调减
E157,***环境设备工程有限公司,建筑房地产,10,0.1127732476251745,0.2303354719621377,0.23326942669528145,0.2574525120966305,0.28405858906350223,0.2694252467317228,B,10,0,0.15,维持
E158,***装饰工程有限公司,建筑房地产,89,0.140443666965611,0.3765057897983593,0.0469363816762531,0.05486437080904813,0.06415095239605799,0.05904333252320257,A,88,-1,0.1225,调减
E159,个体经营E159 ,其他/无法识别,94,0.08068585003757098,0.07371187276150463,0.022920279863249453,0.025116226319008176,0.02761487698532872,0.026240619118852424,A,93,-1,0.0745,调减
E160,***钢结构工程有限公司,建筑房地产,95,0.10216118027592337,0.12835242644534928,0.02087505876889073,0.023454209235398312,0.026401796589981583,0.024780623544960786,A,95,0,0.0745,维持
E161,***建筑劳务有限责任公司,建筑房地产,86,0.11134934927585792,0.21933391188405843,0.06715713337341396,0.07575919369961918,0.08556495575096537,0.08017178662272498,A,84,-2,0.1425,调减
E162,***网络信息安全有限公司,科技信息服务,98,0.045759923214073475,0.1317059641684806,0.004069619041148888,0.004290377978696153,0.004577629896339742,0.0044196413416357685,A,98,0,0.0465,维持
E163,***物流有限公司,交通物流,87,0.16866052149134653,0.2575966099974116,0.07347691706448911,0.08806489864866811,0.10247136346892508,0.09454780781778374,A,84,-3,0.1425,调减
E164,个体经营E164 ,其他/无法识别,97,0.08814916274530417,0.13267586846529703,0.010815583290088637,0.011969527422481658,0.013293951986772629,0.012565518476412595,A,97,0,0.0745,维持
E165,***文化传媒股份有限公司,其他/无法识别,96,0.08052811022612097,0.06711605618367152,0.011530095075744862,0.012646906514694845,0.013919840378204075,0.013219726753274,A,96,0,0.0745,维持
E166,***建筑工程有限公司,建筑房地产,10,0.14478407044519115,0.45864497583277575,0.2840506031891578,0.31935334561562506,0.35811283974675495,0.3367951179746336,B,10,0,0.15,维持
E167,***体育文化股份有限公司,其他/无法识别,99,0.0804439061993274,0.05454952118281883,0.0021819383746508715,0.0023952905965378244,0.002638818639758375,0.0025048782159870723,A,99,0,0.0465,维持
E168,***建材有限公司,建筑房地产,82,0.13261732621764327,0.31528840079826403,0.08796973453029772,0.10120968566011794,0.11645532827789773,0.10807022483811884,A,80,-2,0.1425,调减
E169,***建筑设计有限公司,建筑房地产,96,0.09830588610802947,0.11990781441194068,0.015867802507686816,0.017760238803692832,0.019918087783677776,0.01873127084468606,A,95,-1,0.0745,调减
E170,***建筑劳务有限公司,建筑房地产,81,0.1064426276252395,0.1675764377528053,0.10753484902682005,0.12000873751474515,0.134056960823063,0.1263304380034882,B,79,-2,0.15,调减
E171,***质量检验测试站,其他/无法识别,95,0.08414730871964893,0.1054900001748297,0.016469482313434577,0.01813131516170211,0.02003000928610409,0.018985727517683,A,95,0,0.0745,维持
E172,***物流有限公司,交通物流,62,0.14018740936658014,0.13189735194198604,0.1813754730538638,0.20679161860177356,0.23073442417333265,0.21756588110897518,B,68,6,0.15,调增
E173,***贸易有限责任公司,其他/无法识别,97,0.08429750786255634,0.08265510663074468,0.012662573965835805,0.013948279894196072,0.015418386125843401,0.014609827698437371,A,96,-1,0.0745,调减
E174,***工程技术有限公司,建筑房地产,94,0.10154084654324845,0.11619106172489023,0.024806509049971295,0.027837302310116555,0.03129648330691733,0.029393933758676907,A,94,0,0.0745,维持
E175,***食品集团有限公司,其他/无法识别,96,0.10103943431836178,0.23982738896253783,0.009434398800689164,0.010600774630716014,0.011955384153946872,0.011210348916169902,A,96,0,0.0585,维持
E176,***科技有限公司,科技信息服务,90,0.04335950209145192,0.07603966699467965,0.03774653437005182,0.03961339553684709,0.042029734717663296,0.04070074816821438,A,90,0,0.0985,维持
E177,***电力工程有限公司,建筑房地产,93,0.10587588279396706,0.17549267665658963,0.031160552926195156,0.03511219151365545,0.03963266586444884,0.037146404971512476,A,92,-1,0.0745,调减
E178,***贸易有限公司,其他/无法识别,87,0.08643233247477328,0.11121487480834406,0.06873618884303043,0.07544600806281614,0.08305806426525943,0.07887143335391562,A,86,-1,0.1225,调减
E179,***园林有限公司,其他/无法识别,10,0.08687923807368689,0.13941180097888406,0.2011792506669257,0.21782580193591022,0.2362916778215286,0.2261354460844385,B,66,56,0.15,调增
E180,***电气有限公司,其他/无法识别,98,0.10345493374418326,0.2193847691439854,0.005940393940036654,0.0066967606346555065,0.007577754417337109,0.007093207836862228,A,98,0,0.0465,维持
E181,***食品有限公司,其他/无法识别,81,0.09487648308427722,0.15028141036461362,0.09428217088667587,0.10412271679514146,0.11530435010041772,0.10915445178251579,A,80,-1,0.1425,调减
E182,***新材料科技有限公司,科技信息服务,88,0.04532907324579199,0.09177593134360781,0.05843423561309522,0.06139033419924454,0.06521589191832375,0.06311183517283019,A,87,-1,0.1225,调减
E183,***建设工程有限公司,建筑房地产,10,0.1269974692655503,0.2843435059003498,0.30815058504012116,0.34031041866884204,0.3752485135885594,0.3560325613827149,B,10,0,0.15,维持
E184,***建筑装饰工程有限公司,建筑房地产,10,0.10601727853863864,0.17240221660961114,0.20253828569823595,0.22312086496209715,0.24584656312964162,0.23334742913749218,B,64,54,0.15,调增
E185,***生态魔芋有限公司,其他/无法识别,86,0.0970113173537113,0.21588026734227256,0.07487136357449749,0.0830667044270807,0.09242853164808024,0.0872795266765305,A,84,-2,0.1425,调减
E186,***建筑劳务有限公司,建筑房地产,10,0.13024458245994025,0.3068281547695306,0.3374537553640706,0.3718718983067297,0.4090238295371755,0.3885902673604303,B,10,0,0.15,维持
E187,个体经营E187 ,其他/无法识别,10,0.09168000032007365,0.17127072644996805,0.2345662379297173,0.2541410238123775,0.2757763336514227,0.26387691323994783,B,10,0,0.15,维持
E188,***硬质合金有限公司,其他/无法识别,91,0.07727904664017904,0.031532091405182726,0.042203399810015536,0.04598214390925775,0.05025627852661588,0.047905504487068915,A,90,-1,0.0985,调减
E189,***石油工程技术服务有限公司,建筑房地产,77,0.10332000163367216,0.1489152726459382,0.11319623085078857,0.12582704045949683,0.14000663005309547,0.1322078557766162,B,75,-2,0.15,调减
E190,***劳务有限公司,其他/无法识别,71,0.10243902434974499,0.27057960329327607,0.15270155645832023,0.16872355312185036,0.18680823208075428,0.17686165865335712,B,69,-2,0.15,调减
E191,***商贸有限责任公司,批发零售,99,0.14008502069033113,0.28803641302979516,0.002710341142202686,0.003191262654841084,0.003733881053605016,0.003435440934284853,A,99,0,0.0465,维持
E192,***建设工程有限公司,建筑房地产,0,0.1254980352298601,0.3085519888348041,0.7591094667539053,0.7842598189195491,0.8089631817574219,0.7953763321965919,D,0,0,0.15,维持
E193,个体经营E193 ,其他/无法识别,94,0.08084971508204393,0.06849114287699487,0.014826450780108542,0.016263219265804842,0.017900429994689486,0.016999964093802934,A,93,-1,0.0745,调减
E194,***文化传播有限公司,其他/无法识别,94,0.0846317300719083,0.09746295596809484,0.01573457954287221,0.017333289734976585,0.0191608762345638,0.018155703659790832,A,93,-1,0.0745,调减
E195,***医药有限公司,医疗健康,96,-0.01589486742967686,0.07043778598189564,0.014072859834954597,0.013824722093881464,0.014521968553178692,0.014138483000565218,A,96,0,0.0745,维持
E196,***地质制图印刷厂,其他/无法识别,91,0.08479007628826024,0.09796223845631755,0.0426118231315852,0.046816809851475995,0.05160242123970004,0.04897033497617682,A,90,-1,0.0985,调减
E197,***医疗设备有限公司,医疗健康,99,-0.016191343264059,0.08914329576111235,0.0014057153959994898,0.0013801678430003322,0.001452032804809183,0.0014125070758143152,A,99,0,0.0465,维持
E198,***商贸有限公司,批发零售,10,0.11339772296999757,0.1357681221542892,0.21024232791071143,0.23287919265910317,0.2566804376201431,0.24358975289157114,B,64,54,0.15,调增
E199,***建筑劳务有限公司,建筑房地产,10,0.13332977333504428,0.3635791686595896,0.22001977332487088,0.24772787948862293,0.27855764108828507,0.2616012722084709,B,10,0,0.15,维持
E200,个体经营E200 ,其他/无法识别,73,0.08763909969712064,0.1277197994799322,0.16445021037812885,0.17888136967734,0.19499718704015767,0.18613348749060796,B,70,-3,0.15,调减
E201,***物流有限责任公司,交通物流,10,0.14820433220074777,0.19026186829339692,0.29744338638743234,0.334443352468449,0.36835194782587305,0.34970222037928983,B,10,0,0.15,维持
E202,个体经营E202 ,其他/无法识别,10,0.11485489343412783,0.3132510236783705,0.3377287181283211,0.3679929938425838,0.4009915709838798,0.382842353556167,B,10,0,0.15,维持
E203,***建设工程有限公司,建筑房地产,10,0.11534312018271661,0.22314885907540383,0.33654028326366553,0.3668989337525821,0.3995894486264217,0.38160966544580993,B,10,0,0.15,维持
E204,***科技发展有限公司,科技信息服务,91,0.042127374882684074,0.06487117523817702,0.029297004246471116,0.03071671796805383,0.03255361639929379,0.03154332226211182,A,90,-1,0.0745,调减
E205,个体经营E205 ,其他/无法识别,90,0.09221343117968789,0.14095646860007333,0.05204664261804337,0.05759712311968689,0.06394165752795862,0.06045216360340917,A,89,-1,0.1225,调减
E206,***建设工程有限公司,建筑房地产,92,0.09912052192990921,0.12042021670736544,0.03370502298432357,0.037675870215281675,0.04219089960549735,0.03970763344087873,A,91,-1,0.0745,调减
E207,个体经营E207 ,其他/无法识别,83,0.10484631558928342,0.2549052312451018,0.0996911911238232,0.11117704687865332,0.12430558109310533,0.11708488727515673,B,81,-2,0.1465,调减
E208,个体经营E208 ,其他/无法识别,85,0.08994935255067625,0.13285024663720257,0.07553292747479418,0.08315973845399531,0.09182485876226525,0.08705904259271678,A,84,-1,0.1425,调减
E209,***工程检测有限公司,建筑房地产,90,0.0936914709849016,0.07968909393620235,0.02729326965721359,0.030344246473958857,0.033802065303034125,0.03190026494704273,A,90,0,0.0745,维持
E210,***建筑工程有限公司,建筑房地产,10,0.13455604273815006,0.33668348257408365,0.5136690536517525,0.5520835517324086,0.5918215522986435,0.5699656519872144,C,10,0,0.15,维持
E211,个体经营E211 ,其他/无法识别,76,0.10156410121555391,0.23937248812607007,0.13835960219984178,0.1530226236794575,0.16961314962384114,0.16048836035443015,B,73,-3,0.15,调减
E212,***建电管理咨询有限公司,其他/无法识别,10,0.09301454544571383,0.18944385307953104,0.2830845779121079,0.30539451748573126,0.3298516699509847,0.3164002360950953,B,10,0,0.15,维持
E213,***科技有限公司,科技信息服务,85,0.04332290340996259,0.08232336666976682,0.07460526518060644,0.07814179974215502,0.08270424820577214,0.08019490155078272,A,85,0,0.1425,维持
E214,***建筑工程有限公司,建筑房地产,10,0.09982476804533391,0.13119746610148783,0.2970510407689674,0.3216913048392134,0.34834001794424885,0.33368322573647935,B,10,0,0.15,维持
E215,***建筑工程有限公司,建筑房地产,10,0.11732204018956398,0.24689387802112686,0.46191650957631986,0.495572720494494,0.5308617206219768,0.5114527705518612,C,10,0,0.15,维持
E216,***建设工程有限公司,建筑房地产,83,0.10215077995679744,0.1309853749414451,0.09050376027779598,0.10077398047667094,0.11234721742673087,0.10598193710419793,A,81,-2,0.1425,调减
E217,个体经营E217 ,其他/无法识别,0,0.09291637046100988,0.19882890049873408,0.9858906416305863,0.987286563227346,0.988646723875161,0.9878986355188628,D,0,0,0.15,维持
E218,***建设工程有限公司,建筑房地产,0,0.13459425167669903,0.373493500465908,0.6742703768325559,0.7070521539577529,0.7397104823124476,0.7217484017173655,D,0,0,0.15,维持
E219,***品牌营销策划有限公司,其他/无法识别,72,0.08521552783786944,0.11898857775079343,0.14774434037606282,0.1606159251717549,0.1750106977181459,0.16709357281763088,B,70,-2,0.15,调减
E220,***文化传播有限公司,其他/无法识别,84,0.08932631429651688,0.12421283265190546,0.04838591309950581,0.053396884737748125,0.05911521720272301,0.055970134346986826,A,83,-1,0.1025,调减
E221,***测绘服务有限公司,其他/无法识别,83,0.08471833866686004,0.11172707566059818,0.0704172655733428,0.07713412246858514,0.0847419483533171,0.08055764411671452,A,82,-1,0.1425,调减
E222,***数码科技有限公司,科技信息服务,74,0.045565715755664746,0.13082344006804533,0.12429559656279258,0.13014762314208567,0.13767632425508158,0.13353553864293383,B,73,-1,0.15,调减
E223,***科技有限公司,科技信息服务,81,0.04839892343924852,0.137779248677844,0.08455181400069933,0.08899248190221705,0.09473932918999158,0.09157856318171559,A,81,0,0.1425,维持
E224,***纸业有限公司,其他/无法识别,87,0.08374462765631381,0.08511462410375051,0.07066103260388099,0.0773177244506481,0.08485147163678725,0.08070791068441072,A,86,-1,0.1425,调减
E225,***物业服务有限责任公司***分公司,其他/无法识别,95,0.08367286341650566,0.08471286228415996,0.019077792831698658,0.02098560674157877,0.023163467920087274,0.0219656442719076,A,95,0,0.0745,维持
E226,***建设工程有限公司,建筑房地产,10,0.11727667842346105,0.230483493996644,0.3653863982114318,0.3972947128606837,0.4314508660021444,0.412664981774341,B,10,0,0.15,维持
E227,***安全技术有限公司,科技信息服务,74,0.0427804322038494,0.07483620306297507,0.14881127593321827,0.15518469886222322,0.16335075074646077,0.1588594222101301,B,73,-1,0.15,调减
E228,***文化发展有限公司,其他/无法识别,82,0.08004844102481774,0.0690708754169935,0.08855993048982577,0.0963463277798502,0.1051086681476818,0.10028938094537443,A,81,-1,0.1425,调减
E229,***家贸易有限公司,其他/无法识别,10,0.10063029237281812,0.1882971733288825,0.28732277466299,0.31171235273931985,0.33849143427577316,0.3237629394307239,B,10,0,0.15,维持
E230,***建筑劳务有限公司,建筑房地产,70,0.13175001250666302,0.33847804772271695,0.17059980928381896,0.19339010400343046,0.21905564526260143,0.20493959757005742,B,66,-4,0.15,调减
E231,***建筑科技有限公司,建筑房地产,10,0.11771286610174911,0.24514374661734528,0.42739471091210846,0.46083984602335143,0.49616635600186404,0.4767367755136821,C,10,0,0.15,维持
E232,***投资发展有限责任公司,其他/无法识别,10,0.13396365011001765,0.5071974848115341,0.2160753300691693,0.24356431660878575,0.27461763791235944,0.25753831119539394,B,10,0,0.15,维持
E233,***劳务有限公司,其他/无法识别,0,0.11796614448371709,0.3660018005455728,0.7366631851310655,0.7619220553413639,0.7872058732095806,0.7732997733820615,D,0,0,0.15,维持
E234,***机电设备商贸有限公司,制造业,74,0.08059778983762414,0.09375464328602251,0.15605307650670314,0.16874519452067546,0.18223129155648252,0.17481393818678864,B,72,-2,0.15,调减
E235,个体经营E235 ,其他/无法识别,83,0.10133858614598168,0.21094160142400012,0.0829960691831601,0.0924155420297698,0.10319275635318785,0.09726528847530792,A,82,-1,0.1425,调减
E236,个体经营E236 ,其他/无法识别,0,0.10990511004088693,0.3462147395932711,0.7778783805687536,0.7987724957246811,0.8196112460566933,0.8081499333740867,D,0,0,0.15,维持
E237,个体经营E237 ,其他/无法识别,71,0.10246578551043045,0.24188605914786465,0.1572610986647227,0.17366559006063612,0.19216505510855345,0.18199034933219893,B,69,-2,0.15,调减
E238,个体经营E238 ,其他/无法识别,93,0.08127436255394963,0.07429471034046649,0.020496542144739033,0.022480912312176582,0.024740874132313274,0.023497895131238095,A,92,-1,0.0745,调减
E239,个体经营E239 ,其他/无法识别,10,0.09093282807358517,0.16239398642830388,0.4581827797726569,0.48424060367333577,0.5119387131776826,0.4967047529502918,C,10,0,0.15,维持
E240,个体经营E240 ,其他/无法识别,10,0.1230933275591521,0.41076731107000447,0.58505815974286,0.6188245639972645,0.6536647110469093,0.6345026301696046,C,10,0,0.15,维持
E241,个体经营E241 ,其他/无法识别,10,0.10041332235272586,0.2040577991236667,0.5586110504193403,0.5867930562414204,0.6161908239851762,0.6000220517261106,C,10,0,0.15,维持
E242,个体经营E242 ,其他/无法识别,0,0.09656375202840727,0.2323600920979193,0.9460754613162288,0.9514097519769042,0.9566238742699064,0.9537561070087552,D,0,0,0.15,维持
E243,***科技有限公司,科技信息服务,10,0.050702990505854785,0.18342788022380058,0.2817100987024172,0.2937015671460091,0.30893763762195153,0.3005577988601832,B,10,0,0.15,维持
E244,个体经营E244 ,其他/无法识别,10,0.0925463683155355,0.16048806230630056,0.6038954587135631,0.6289714218270942,0.6549726855014916,0.6406719904805731,C,10,0,0.15,维持
E245,***建筑劳务有限公司,建筑房地产,10,0.10814194034607719,0.1807585237081396,0.492588026823391,0.5236342086986501,0.556006253685535,0.5382016289427483,C,10,0,0.15,维持
E246,***物业服务有限公司,其他/无法识别,10,0.08759776356743364,0.1247520235227915,0.22289538210368734,0.24094010385734602,0.2608897987092574,0.24991746654070615,B,10,0,0.15,维持
E247,***石化有限公司,其他/无法识别,10,0.10157783716236977,0.2181061002743074,0.6231006956330566,0.6500055593358933,0.6777330199131537,0.6624829165956605,C,10,0,0.15,维持
E248,***智能科技有限公司,科技信息服务,10,0.046971879304027825,0.15467053044540263,0.46223133858582105,0.4756877030758821,0.4924776134811644,0.4832431627582592,C,10,0,0.15,维持
E249,***建筑工程有限公司,建筑房地产,0,0.15097729080144598,0.45763106135798876,0.7985641887898559,0.8247066662740798,0.8497726533577966,0.8359863604617525,D,0,0,0.15,维持
E250,***塑料厂,其他/无法识别,10,0.08613014051762286,0.11097132550439259,0.3074104705049796,0.328975161437655,0.3524683197198521,0.33954708266464373,B,10,0,0.15,维持
E251,***医疗器械有限责任公司,医疗健康,10,-0.018086430879652445,0.19618650126601447,0.5250091371987423,0.5198162508204931,0.5340433460157487,0.5262184436583581,C,10,0,0.15,维持
E252,***印务有限公司,其他/无法识别,10,0.08602962021125987,0.1171586445326292,0.4598584288764226,0.4845168449330825,0.5107223346443034,0.49630931530313194,C,10,0,0.15,维持
E253,***钢结构工程有限公司,建筑房地产,10,0.09805001119243893,0.1098592174035275,0.26831701961634985,0.2911569995741016,0.31597738357842614,0.30232617237604764,B,10,0,0.15,维持
E254,***设备安装工程有限公司,建筑房地产,10,0.12336704153454787,0.29262797028374776,0.5208234029317586,0.5559925716667498,0.5923788745711559,0.5723664079737325,C,10,0,0.15,维持
E255,个体经营E255 ,其他/无法识别,10,0.10115957808574136,0.2271932331280655,0.30869806059434224,0.3341725060147335,0.3620307582846384,0.3467087195361907,B,10,0,0.15,维持
E256,***物资有限公司,其他/无法识别,10,0.07973728137509037,0.05695613971788728,0.31323453061440376,0.33336043286880396,0.35522752586060746,0.3432006247151156,B,10,0,0.15,维持
E257,***门窗安装有限公司,其他/无法识别,10,0.08617579846312173,0.12369687958002111,0.6141255577973338,0.637255699593182,0.6612438544081667,0.6480503692599251,C,10,0,0.15,维持
E258,***国际货运有限公司,交通物流,71,0.13671111248333181,0.10792600717055048,0.17490449695641258,0.19899162441558818,0.2216834973248693,0.2092029672247647,B,68,-3,0.15,调减
E259,***文化传媒有限公司,其他/无法识别,10,0.07911723206048307,0.06064297432314515,0.25255124288741954,0.27019532946271446,0.28954006673437527,0.2789004612349618,B,10,0,0.15,维持
E260,***广告有限公司,其他/无法识别,10,0.08238338397577313,0.09193765805093287,0.3384746156286197,0.3600665127587321,0.3834503126926303,0.3705892227289863,B,10,0,0.15,维持
E261,***医疗器械有限公司,医疗健康,82,-0.019123473162729627,0.18894277174241017,0.0842324174316351,0.0825738008690986,0.08723768357395237,0.0846725480862828,A,82,0,0.1425,维持
E262,个体经营E262 ,其他/无法识别,10,0.09347145066474362,0.1787409954112568,0.564596928336663,0.590753432488525,0.6180497175009149,0.6030367607441005,C,10,0,0.15,维持
E263,***通信工程有限公司,建筑房地产,10,0.12151727167686105,0.2816725787601576,0.5851700581350165,0.6185008138067865,0.6525223504650424,0.6338105053030016,C,10,0,0.15,维持
E264,个体经营E264 ,其他/无法识别,10,0.10343035730206743,0.25738262356309183,0.6616338273757165,0.6875971808729723,0.7141478604996877,0.6995449867049943,D,0,-10,0.15,退出
E265,***净化工程有限公司,建筑房地产,10,0.1012916713971873,0.12755799231622353,0.2176857652026849,0.23833217986609875,0.26101231770137223,0.24853824189197182,B,19,9,0.15,调增
E266,***煤矿机械有限公司,制造业,10,0.11393930674951747,0.349649631573654,0.5061394277919683,0.538776651058321,0.5715891804013873,0.5535422892627009,C,10,0,0.15,维持
E267,***林园艺场,其他/无法识别,10,0.10873211936473381,0.32066735160614174,0.6645511962289269,0.6916801441968193,0.7193489426617927,0.7041311035060573,D,0,-10,0.15,退出
E268,***建筑劳务有限公司,建筑房地产,10,0.12042840683295566,0.26886099105688177,0.5626993872026714,0.5963170514194935,0.630805079027459,0.611836663843078,C,10,0,0.15,维持
E269,***节能服务有限公司,其他/无法识别,0,0.12024607262177031,0.3917403381853356,0.8055133202148046,0.826062189486336,0.8463148045091186,0.8351758662465882,D,0,0,0.15,维持
E270,个体经营E270 ,其他/无法识别,10,0.10031179955390022,0.21319882848974672,0.4699610902235915,0.4987619933907185,0.5293021847138416,0.5125050794861239,C,10,0,0.15,维持
E271,***科技有限公司,科技信息服务,10,0.0463622035492964,0.14536541284256216,0.40248216813661697,0.4153855554410324,0.43157300010777233,0.4226699055410654,B,10,0,0.15,维持
E272,个体经营E272 ,其他/无法识别,10,0.08761604463951314,0.12758525874173926,0.3225621586727437,0.34504122065127923,0.36947840418085287,0.35603795323958737,B,10,0,0.15,维持
E273,个体经营E273 ,其他/无法识别,81,0.09171456325823318,0.1502334811847613,0.05263859909269625,0.05821608587976174,0.06458823514392824,0.06108355304863667,A,80,-1,0.1225,调减
E274,***建筑劳务有限公司,建筑房地产,10,0.13387331559384524,0.37410632639509755,0.537148737640908,0.5750187702095684,0.6139798803130904,0.5925512697561532,C,10,0,0.15,维持
E275,***网络工程有限公司,建筑房地产,10,0.10769257454663629,0.18997011636713274,0.6449370750405504,0.6726161325576637,0.7006549910829499,0.6852336188940426,D,0,-10,0.15,退出
E276,***体育设施工程有限公司,建筑房地产,10,0.1195667913249198,0.27690904888602025,0.44478682474166403,0.4789677903000804,0.5149360085030523,0.4951534884914178,C,10,0,0.15,维持
